ID,DR_NO,DATE OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Premis Cd,Premis Desc,Weapon Used Cd,Crm Cd 1,LOCATION,Cross Street,LAT,LON
637783,171425341,10/15/2017 12:00:00 AM,14,Pacific,1431,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",503.0,HOTEL,0,950.0,1300 OCEAN FRONT WK,0,33.9885,-118.475
637784,170415749,09/19/2017 12:00:00 AM,4,Hollenbeck,448,626,INTIMATE PARTNER - SIMPLE ASSAULT,704.0,ELEMENTARY SCHOOL,400.0,626.0,1500 MURCHISON ST,0,34.0594,-118.1958
637785,171804477,01/08/2017 12:00:00 AM,18,Southeast,1827,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,E 103RD ST,WILMINGTON,33.9431,-118.2391
637786,170310492,04/08/2017 12:00:00 AM,3,Southwest,361,890,FAILURE TO YIELD,101.0,STREET,0,890.0,LA BREA AV,COLISEUM ST,34.0183,-118.3556
637787,170906237,02/13/2017 12:00:00 AM,9,Van Nuys,915,626,INTIMATE PARTNER - SIMPLE ASSAULT,501.0,SINGLE FAMILY DWELLING,400.0,626.0,14100 SHERMAN WY,0,34.2012,-118.44
637788,171714640,07/21/2017 12:00:00 AM,17,Devonshire,1716,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,17200 BIRCHER ST,0,34.282,-118.5082
637789,170519355,11/26/2017 12:00:00 AM,5,Harbor,567,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,200 W 17TH ST,0,33.7287,-118.2814
637790,171007382,03/15/2017 12:00:00 AM,10,West Valley,1004,624,BATTERY - SIMPLE ASSAULT,721.0,HIGH SCHOOL,400.0,624.0,18400 ARMINTA ST,0,34.2139,-118.5339
637791,181920430,05/25/2017 12:00:00 AM,19,Mission,1967,121,"RAPE, FORCIBLE",501.0,SINGLE FAMILY DWELLING,400.0,121.0,9600 SANDUSKY AV,0,34.2458,-118.4371
637792,170624291,11/26/2017 12:00:00 AM,6,Hollywood,642,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,CURSON,SUNSET,34.0981,-118.355
637793,170324748,11/04/2017 12:00:00 AM,3,Southwest,358,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",722.0,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,0,341.0,600 W 35TH PL,0,34.0197,-118.2814
637794,171512545,05/27/2017 12:00:00 AM,15,N Hollywood,1538,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),501.0,SINGLE FAMILY DWELLING,0,745.0,5700 VINELAND AV,0,34.1758,-118.3746
637795,170815046,09/01/2017 12:00:00 AM,8,West LA,889,626,INTIMATE PARTNER - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,626.0,2000 S HOLT AV,0,34.0412,-118.3813
637796,170117495,06/20/2017 12:00:00 AM,1,Central,155,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,726.0,POLICE FACILITY,0,845.0,200 E 6TH ST,0,34.0448,-118.2474
637797,170319087,08/13/2017 12:00:00 AM,3,Southwest,356,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,1600 W 36TH ST,0,34.0228,-118.306
637798,171004696,01/15/2017 12:00:00 AM,10,West Valley,1099,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,15900 VALLEY VISTA BL,0,34.1527,-118.4793
637799,170606410,02/13/2017 12:00:00 AM,6,Hollywood,645,624,BATTERY - SIMPLE ASSAULT,503.0,HOTEL,400.0,624.0,7000 HOLLYWOOD BL,0,34.1016,-118.3417
637800,172114378,07/26/2017 12:00:00 AM,21,Topanga,2139,762,LEWD CONDUCT,101.0,STREET,0,762.0,7500 WINNETKA AV,0,34.2059,-118.571
637801,170414548,08/25/2017 12:00:00 AM,4,Hollenbeck,409,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,501.0,SINGLE FAMILY DWELLING,511.0,930.0,5400 ALMONT ST,0,34.093,-118.1636
637802,170126199,10/03/2017 12:00:00 AM,1,Central,119,626,INTIMATE PARTNER - SIMPLE ASSAULT,102.0,SIDEWALK,400.0,626.0,400 BAUCHET ST,0,34.0587,-118.233
637803,171716892,09/05/2017 12:00:00 AM,17,Devonshire,1753,354,THEFT OF IDENTITY,101.0,STREET,0,354.0,LURLINE AV,MAYALL ST,34.2537,-118.5842
637804,172109940,04/27/2017 12:00:00 AM,21,Topanga,2147,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,20700 ENADIA WY,0,34.2003,-118.5839
637805,171117265,09/30/2017 12:00:00 AM,11,Northeast,1142,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,2000 RODNEY DR,0,34.1077,-118.2892
637806,201504958,10/01/2017 12:00:00 AM,15,N Hollywood,1501,760,LEWD/LASCIVIOUS ACTS WITH CHILD,501.0,SINGLE FAMILY DWELLING,0,760.0,7700 FULTON AV,0,34.21,-118.4229
