ID,APN,R_Date,P_Type,P_Zip
284,5115031011,12/5/14,Multi-Family,90011
285,2074035001,2/4/14,Single Family,91364
286,2782034014,5/6/14,Single Family,91324
287,6109023042,11/17/14,Single Family,90248
288,2224027049,11/11/14,Single Family,91406
289,6040027008,4/9/14,Multi-Family,90003
290,6054019003,2/27/14,Multi-Family,90044
291,5177011035,2/6/14,Multi-Family,90033
292,6075008003,3/27/14,Single Family,90044
293,5201017021,11/7/14,Single Family,90033
294,5452009010,10/14/14,Multi-Family,90065
295,6052016028,10/27/14,Multi-Family,90003
296,2229002007,8/14/14,Single Family,91406
297,6029002028,8/12/14,Multi-Family,90001
298,2761036083,4/8/14,Single Family,91324
299,2661018011,7/28/14,Single Family,91343
300,6039001034,2/3/14,Single Family,90044
301,5049005004,3/26/14,Single Family,90016
302,2265021013,12/8/14,Single Family,91423
303,5716026025,3/25/14,Single Family,90042
304,5521004006,2/4/14,Multi-Family,90004
305,2501003030,8/14/14,Single Family,91342
306,6005013027,1/31/14,Multi-Family,90003
307,6030004023,8/22/14,Multi-Family,90003
308,2606005053,9/15/14,Single Family,91344
309,2601038054,5/6/14,Single Family,91344
310,2369027095,8/1/14,Single Family,91604
311,5549028013,12/23/14,Single Family,90068
312,2729006011,11/5/14,Single Family,91324
313,2611008014,8/22/14,Single Family,91342
314,5022008001,1/17/14,Multi-Family,90062
315,5205012119,5/16/14,Single Family,90031
316,2168018056,4/9/14,Single Family,91364
317,2247017002,2/3/14,Single Family,91401
318,2532028008,12/23/14,Single Family,91331
319,2536015039,1/9/14,Single Family,91331
320,6050006024,11/25/14,Single Family,90002
321,2546001021,11/25/14,Single Family,91040
322,2123033016,4/9/14,Single Family,91335
323,2642012010,9/16/14,Single Family,91331
324,6057012002,7/28/14,Single Family,90047
325,4019010049,8/25/14,Single Family,90043
326,2748008038,11/26/14,Single Family,91311
327,2552043022,12/5/14,Single Family,91042
328,2324007013,6/11/14,Single Family,91605
329,6014002016,1/16/14,Single Family,90044
330,5035016014,2/13/14,Multi-Family,90062
331,5035006010,1/29/14,Multi-Family,90062
332,2410001070,6/27/14,Single Family,91352
333,2176009005,12/16/14,Single Family,91356
334,2785013055,6/9/14,Single Family,91324
335,2513014042,6/20/14,Single Family,91340
336,6050022020,1/3/14,Single Family,90002
337,5437022006,12/10/14,Single Family,90039
338,5213028014,11/18/14,Single Family,90032
339,5029002020,9/30/14,Single Family,90008
340,2316011037,10/27/14,Single Family,91605
341,2787008011,11/26/14,Single Family,91325
342,5032022114,1/22/14,Single Family,90008
343,5207012003,4/10/14,Single Family,90031
344,6051014026,3/5/14,Single Family,90002
345,5090029043,12/2/14,Single Family,90005
346,2107022065,5/8/14,Single Family,91306
347,2182013005,6/23/14,Single Family,91316
348,6054007025,7/15/14,Single Family,90044
349,2707010026,8/20/14,Single Family,91311
350,4371011022,3/27/14,Single Family,90077
351,6015031007,7/21/14,Single Family,90047
352,2215015072,12/9/14,Single Family,91405
353,2172024038,9/15/14,Single Family,91364
354,5118020004,1/2/14,Multi-Family,90011
355,2701070039,5/8/14,Single Family,91326
356,5579020004,8/25/14,Single Family,90068
357,2606016009,1/17/14,Single Family,91344
358,4325027005,1/19/14,Single Family,90024
359,4249022011,11/7/14,Single Family,90066
360,2607015056,11/24/14,Single Family,91344
361,2623024023,12/19/14,Single Family,91331
362,2103018030,7/15/14,Single Family,91335
363,6074017004,10/10/14,Single Family,90061
364,2146031147,10/27/14,Single Family,91367
365,2424018007,6/9/14,Single Family,91602
366,2542009018,4/9/14,Single Family,91040
367,2564011021,1/15/14,Single Family,91042
368,5064007028,3/27/14,Single Family,90019
369,4256023003,5/29/14,Single Family,90064
370,5046033045,3/26/14,Single Family,90016
371,7559017034,11/11/14,Single Family,90732
372,5478024009,3/26/14,Single Family,90042
373,5503001029,3/21/14,Single Family,90020
374,6003022004,1/3/14,Multi-Family,90044
375,2113001001,11/11/14,Single Family,91306
376,5464028039,1/31/14,Single Family,90065
377,5229025017,3/7/14,Single Family,90063
378,5019027006,1/29/14,Multi-Family,90037
379,6063022027,11/3/14,Multi-Family,90003
380,2263031020,7/9/14,Single Family,91403
381,2114008042,5/6/14,Single Family,91306
382,5046008013,11/24/14,Single Family,90016
383,4117002012,9/8/14,Single Family,90293
384,6033008002,6/9/14,Single Family,90044
385,2159017010,12/4/14,Single Family,91316
386,6068003030,1/31/14,Single Family,90059
387,2761033005,4/9/14,Single Family,91324
388,6041009018,1/22/14,Single Family,90003
389,5110025021,4/2/14,Multi-Family,90037
390,4128012018,10/2/14,Single Family,90045
391,2745011035,12/5/14,Single Family,91311
392,7421023029,11/30/14,Multi-Family,90744
393,2681021017,12/4/14,Single Family,91344
394,5515001007,10/21/14,Single Family,90004
395,5180013045,4/29/14,Single Family,90033
396,6117031021,2/3/14,Single Family,90247
397,5043017022,6/23/14,Multi-Family,90016
398,2692019021,5/9/14,Single Family,91325
399,2679004015,10/8/14,Single Family,91344
400,6013008009,5/6/14,Multi-Family,90044
401,5186016013,11/28/14,Single Family,90023
402,2649021001,10/22/14,Single Family,91345
403,4325001131,1/29/14,Single Family,90024
404,6031004010,9/22/14,Single Family,90003
405,5103008023,12/2/14,Single Family,90011
406,5109007007,8/25/14,Multi-Family,90011
407,6004033015,3/21/14,Multi-Family,90044
408,2505010021,1/13/14,Single Family,91342
409,2501014046,11/3/14,Single Family,91342
410,6040036010,6/11/14,Multi-Family,90003
411,2419023022,8/4/14,Single Family,91601
412,5424018003,3/5/14,Single Family,90026
413,2671023011,12/3/14,Single Family,91343
414,2255010007,8/20/14,Single Family,91316
415,2762037045,12/16/14,Single Family,91324
416,2027007024,9/8/14,Single Family,91307
417,2620027001,5/8/14,Single Family,91331
418,4239025042,6/13/14,Multi-Family,90291
419,5051032014,5/12/14,Multi-Family,90018
420,4369036022,12/22/14,Single Family,90077
421,2628006042,7/22/14,Single Family,91331
422,5110019025,3/25/14,Single Family,90037
423,5075008017,3/14/14,Multi-Family,90006
424,5551027007,1/15/14,Single Family,90046
425,6051023019,9/30/14,Single Family,90002
426,5485003036,9/29/14,Single Family,90042
427,6035025020,1/30/14,Single Family,90047
428,6072024022,2/21/14,Multi-Family,90059
429,2708025004,12/5/14,Single Family,91311
430,6074022008,11/5/14,Single Family,90061
431,2505029030,6/9/14,Single Family,91342
432,2353034009,8/20/14,Single Family,91602
433,6065004015,1/15/14,Single Family,90002
434,5689004024,1/30/14,Single Family,90041
435,2872019031,11/20/14,Single Family,91326
436,2222023021,2/4/14,Single Family,91406
437,5223015004,1/29/14,Single Family,90032
438,2254035013,6/17/14,Single Family,91316
439,5437024025,8/4/14,Single Family,90039
440,2638025016,1/3/14,Single Family,91402
441,5153002006,1/29/14,Single Family,90026
442,4007006013,1/30/14,Single Family,90043
443,2346018004,1/31/14,Single Family,91607
444,5510022019,3/5/14,Single Family,90048
445,2359022001,9/11/14,Single Family,91423
446,5302003135,1/17/14,Single Family,90042
447,5528003143,1/30/14,Single Family,90069
448,4264024019,1/10/14,Single Family,90049
449,6058003021,3/26/14,Single Family,90047
450,5405004003,11/25/14,Single Family,90026
451,5301012005,3/17/14,Single Family,90042
452,5587018012,1/31/14,Single Family,90068
453,5104014007,9/5/14,Multi-Family,90011
454,5534021019,2/12/14,Single Family,90038
455,2671009005,10/16/14,Single Family,91343
456,2553018008,7/7/14,Single Family,91042
457,5048019016,11/25/14,Multi-Family,90016
458,4218014020,4/11/14,Single Family,90230
459,5177020013,8/18/14,Multi-Family,90033
460,2692024013,11/11/14,Single Family,91325
461,6038011018,12/8/14,Multi-Family,90044
462,5104007018,7/9/14,Single Family,90011
463,5019005015,11/26/14,Multi-Family,90037
464,5155012058,11/19/14,Single Family,90064
465,2130026016,4/9/14,Single Family,91335
466,2503008008,7/9/14,Single Family,91342
467,5015039021,7/29/14,Single Family,90043
468,2654030006,5/8/14,Single Family,91343
469,5084029017,2/3/14,Multi-Family,90019
470,2690006014,11/25/14,Single Family,91325
471,2101019001,1/14/14,Single Family,91325
472,2404028020,12/23/14,Single Family,91352
473,2423017008,12/16/14,Single Family,91602
474,6049013003,2/21/14,Single Family,90002
475,2034023033,6/9/14,Single Family,91307
476,5057011014,12/4/14,Single Family,90016
477,5021002013,1/30/14,Single Family,90062
478,2130015001,6/9/14,Single Family,91335
479,5116006030,11/25/14,Multi-Family,90011
480,5014026007,1/2/14,Single Family,90043
481,4230012020,1/17/14,Single Family,90066
